VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF0478b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0478d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0479b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0479d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0480b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0480d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0481  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA'}
VCF0482a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0482b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0482c  {9987.0: "9987. Don't know much about candidate", 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0482d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK; RF; NA (mention 1 only)'}
VCF0483b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0483d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0484b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0484d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0485b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0485d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0486b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0486d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0487  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA'}
VCF0488a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0488b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0488c  {9987.0: "9987. Don't know much about candidate", 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0488d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK ;RF; NA (mention 1 only)'}
VCF0489b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0489d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0490b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0490d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0491b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0491d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0492b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0492d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
VCF0493  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA'}
VCF0494a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0494b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0494c  {9987.0: "9987. Don't know much about candidate", 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0494d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK; RF; NA (mention 1 only)'}
